"Infants lacking immunization, DTP (% of one-year-olds)"
"Dimension: Health"
"SDG 3.b Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all"
"Definition: Percentage of surviving infants who have not received their first dose of diphtheria, tetanus and pertussis vaccine."
"Source: WHO (World Health Organization) and UNICEF (United Nations Children’s Fund) (2020). Estimates of national routine immunization coverage, 2019 revision (completed July 2020). https://data.unicef.org/topic/child-health/immunization/. Accessed 26 August 2020."
""
"103"," Paraguay","14","","13","","5","","3","","5","","5","","6","","3","","5","","4","","6","","5","","9","","12",""
"79"," Peru","11","","4","","1","","6","","3","","6","","1","","3","","2","","3","","6","","10","","10","","3",""
"107"," Philippines","4","","24","","8","","9","","19","","8","","9","","7","","22","","31","","13","","28","","34","","34",""
"35"," Poland","2","","2","","1","","1","","1","","1","","1","","1","","1","","1","","1","","2","","2","","2",""
"38"," Portugal","4","","3","","1","","6","","1","","3","","1","","1","","1","","1","","1","","1","","1","","1",""
"45"," Qatar","6","","3","","8","","1","","2","","6","","5","","1","","1","","1","","1","","2","","1","","1",""
"49"," Romania","2","","2","","1","","3","","4","","4","","5","","5","","5","","5","","6","","6","","6","","6",""
"52"," Russian Federation","..","","8","","3","","1","","3","","3","","3","","3","","3","","3","","3","","3","","3","","3",""
"160"," Rwanda","6","","6","","7","","5","","2","","2","","1","","1","","1","","1","","1","","1","","2","","1",""
"74"," Saint Kitts and Nevis","1","","1","","1","","1","","2","","1","","1","","1","","1","","4","","1","","1","","1","","1",""
"86"," Saint Lucia","4","","2","","24","","1","","2","","1","","1","","1","","1","","1","","5","","11","","1","","1",""
"97"," Saint Vincent and the Grenadines","2","","2","","1","","1","","1","","2","","2","","1","","1","","1","","1","","1","","3","","1",""
"111"," Samoa","4","","3","","1","","13","","9","","9","","12","","11","","12","","11","","5","","16","","44","","14",""
".."," San Marino","1","","1","","2","","3","","9","","6","","9","","12","","13","","13","","7","","12","","6","","10",""
"135"," Sao Tome and Principe","3","","8","","11","","1","","2","","2","","2","","1","","2","","2","","3","","4","","3","","3",""
"40"," Saudi Arabia","3","","2","","5","","3","","2","","1","","2","","2","","1","","2","","2","","1","","4","","4",""
"168"," Senegal","25","","7","","21","","3","","4","","3","","4","","4","","6","","6","","4","","3","","16","","3",""
"64"," Serbia","..","","4","","3","","1","","3","","2","","3","","2","","3","","2","","3","","2","","2","","1",""
"67"," Seychelles","1","","2","","1","","1","","1","","1","","2","","1","","1","","1","","2","","2","","1","","1",""
"182"," Sierra Leone","..","","..","","36","","20","","5","","3","","2","","2","","12","","5","","3","","2","","3","","5",""
"11"," Singapore","5","","2","","2","","4","","2","","3","","2","","2","","2","","2","","2","","2","","2","","2",""
"39"," Slovakia","..","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"22"," Slovenia","..","","2","","4","","2","","2","","2","","2","","2","","2","","2","","2","","2","","3","","2",""
"151"," Solomon Islands","9","","13","","5","","7","","10","","3","","4","","12","","17","","7","","1","","13","","14","","2",""
".."," Somalia","58","","54","","43","","50","","45","","48","","48","","48","","48","","48","","48","","48","","48","","48",""
