"Mortality rate, under-five (per 1,000 live births)"
"Dimension: Health"
"SDG 3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births"
"Definition: Probability of dying between birth and exactly age 5, expressed per 1,000 live births."
"Source: UN Inter-agency Group for Child Mortality Estimation (2019). Child mortality estimates. www.childmortality.org. Accessed 26 August 2020."
""
"88"," Dominican Republic","60.2","","49.0","","40.9","","36.7","","34.2","","33.8","","33.3","","32.7","","32.1","","31.3","","30.6","","29.7","","28.8",""
"86"," Ecuador","53.9","","40.5","","29.0","","22.8","","18.3","","17.5","","16.7","","16.1","","15.6","","15.1","","14.8","","14.5","","14.2",""
"116"," Egypt","85.8","","64.7","","46.8","","36.0","","29.0","","27.8","","26.6","","25.5","","24.6","","23.6","","22.8","","21.9","","21.2",""
"124"," El Salvador","59.8","","44.6","","32.9","","24.9","","19.2","","18.3","","17.5","","16.7","","16.0","","15.3","","14.7","","14.2","","13.7",""
"145"," Equatorial Guinea","179.3","","172.6","","156.8","","134.4","","111.9","","108.1","","104.2","","100.7","","97.5","","94.2","","90.9","","88.2","","85.3",""
"180"," Eritrea","152.5","","114.5","","85.5","","67.8","","55.4","","53.4","","51.6","","49.8","","48.1","","46.6","","44.9","","43.4","","41.9",""
"29"," Estonia","17.6","","15.6","","10.9","","7.1","","4.6","","4.2","","3.9","","3.6","","3.4","","3.2","","3.0","","2.8","","2.6",""
"138"," Eswatini (Kingdom of)","70.9","","93.7","","126.3","","129.3","","88.7","","78.5","","72.6","","69.4","","67.2","","62.9","","61.7","","58.1","","54.4",""
"173"," Ethiopia","201.8","","172.6","","141.8","","110.2","","82.9","","78.5","","74.3","","70.5","","66.8","","63.5","","60.4","","57.7","","55.2",""
"93"," Fiji","29.2","","24.9","","22.7","","23.0","","23.9","","23.9","","23.9","","24.1","","24.3","","24.6","","25.0","","25.4","","25.6",""
"11"," Finland","6.7","","5.2","","4.3","","3.8","","3.1","","2.9","","2.7","","2.6","","2.4","","2.2","","2.0","","1.9","","1.7",""
"26"," France","9.0","","6.5","","5.4","","4.6","","4.3","","4.2","","4.2","","4.2","","4.1","","4.1","","4.1","","4.1","","4.0",""
"119"," Gabon","92.6","","89.3","","84.7","","75.0","","62.8","","60.4","","58.1","","55.7","","53.5","","51.0","","48.1","","46.0","","44.8",""
"172"," Gambia","167.4","","139.8","","114.8","","93.8","","77.1","","74.3","","71.7","","69.3","","67.0","","64.7","","62.6","","60.4","","58.4",""
"61"," Georgia","47.9","","45.2","","36.8","","23.7","","14.2","","13.0","","12.1","","11.4","","10.9","","10.5","","10.2","","10.0","","9.8",""
"6"," Germany","8.5","","6.5","","5.4","","4.7","","4.2","","4.1","","4.0","","4.0","","3.9","","3.9","","3.8","","3.7","","3.7",""
"138"," Ghana","127.4","","113.8","","99.5","","84.2","","69.9","","66.6","","63.3","","60.2","","57.4","","54.7","","52.3","","50.0","","47.9",""
"32"," Greece","10.4","","8.5","","6.4","","4.6","","3.9","","4.0","","4.1","","4.2","","4.4","","4.6","","4.7","","4.6","","4.5",""
"74"," Grenada","22.3","","18.1","","15.6","","14.4","","14.2","","14.3","","14.5","","14.7","","14.9","","15.0","","15.2","","15.3","","15.2",""
"127"," Guatemala","80.1","","63.9","","51.7","","42.3","","35.0","","33.7","","32.4","","31.2","","30.1","","29.0","","28.0","","27.1","","26.2",""
"178"," Guinea","235.6","","202.5","","166.2","","134.3","","117.2","","115.0","","112.8","","110.9","","109.0","","107.2","","105.3","","103.2","","100.8",""
